Time,Alamein,Belgrave,Craigieburn,Cranbourne,Mernda,Frankston,Glen Waverley,Hurstbridge,Lilydale,Pakenham,Sandringham,Stony Point,Sunbury,Upfield,Werribee,Williamstown
2024-07-31 20:59:55.766740,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 20:59:55.766740,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:00:29.238194,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:00:29.238194,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:00:59.244748,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:00:59.244748,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:05:08.194846,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:05:38.213028,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:06:08.214021,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:06:38.196197,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:07:17.592428,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:07:47.596523,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:11:13.604629,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:13:26.681001,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:28:26.691963,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:43:26.693859,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 21:58:26.675650,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 22:13:26.683153,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 22:28:26.689211,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 22:43:26.694650,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 22:58:26.677109,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 23:13:26.684471,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 23:28:26.674095,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 23:43:26.679784,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Minor Delays,Good Service,Good Service,Good Service
2024-07-31 23:58:26.688068,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
2024-08-01 00:13:26.691595,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
2024-08-01 00:28:26.674872,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
2024-08-01 00:43:28.459041,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
2024-08-01 00:58:26.700771,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
2024-08-01 01:13:26.675378,Good Service,Good Service,Good Service,Good Service,Good Service,Planned Works,Good Service,Planned Works,Good Service,Good Service,Good Service,Planned Works,Good Service,Good Service,Good Service,Good Service
